date,temperature,humidity,soilMoisture,Length,Growth,Fruit_Label
"Saturday,-December-23-2023-07:09:44",27.1,81,31.7,43.73125,0.55625,Fruit 1
"Saturday,-December-23-2023-08:09:43",26.7,81,31.62,44.2875,0.55625,Fruit 1
"Saturday,-December-23-2023-09:09:43",29,77,31.4,44.84375,0.55625,Fruit 1
"Saturday,-December-23-2023-10:09:44",30.2,76,31.6,45.4,0.55625,Fruit 1
"Saturday,-December-23-2023-11:09:43",35.2,69,31.65,46.2,0.8,Fruit 1
"Saturday,-December-23-2023-12:09:43",40.6,66,32.16,47,0.8,Fruit 1
"Saturday,-December-23-2023-13:09:43",45.3,61,31.7,47.8,0.8,Fruit 1
"Saturday,-December-23-2023-14:09:42",35.6,77,31.55,48.6,0.8,Fruit 1
"Saturday,-December-23-2023-15:09:42",44.5,61,32.38,49.18,0.58,Fruit 1
"Saturday,-December-23-2023-16:09:42",41.1,67,32.09,49.76,0.58,Fruit 1
"Saturday,-December-23-2023-17:09:42",34.7,77,32.67,50.34,0.58,Fruit 1
"Saturday,-December-23-2023-18:09:42",33.8,76,31.79,50.92,0.58,Fruit 1
"Saturday,-December-23-2023-19:09:42",31.3,79,32.84,51.5,0.58,Fruit 1
"Saturday,-December-23-2023-20:10:34",29.8,84,39.05,52.25833333,0.75833333,Fruit 1
"Saturday,-December-23-2023-21:10:34",28.5,83,37.9,53.01666667,0.75833334,Fruit 1
"Saturday,-December-23-2023-22:10:34",28,84,36.97,53.775,0.75833333,Fruit 1
"Saturday,-December-23-2023-23:10:33",27.7,85,36.85,54.53333333,0.75833333,Fruit 1
"Sunday,-December-24-2023-00:10:33",27.6,85,38.66,55.29166667,0.75833334,Fruit 1
"Sunday,-December-24-2023-01:10:33",27.6,85,38.56,56.05,0.75833333,Fruit 1
"Sunday,-December-24-2023-02:10:32",27.1,85,37.02,56.80833333,0.75833333,Fruit 1
"Sunday,-December-24-2023-03:10:33",27.1,85,36.78,57.56666667,0.75833334,Fruit 1
"Sunday,-December-24-2023-04:10:33",26.7,85,36.73,58.325,0.75833333,Fruit 1
"Sunday,-December-24-2023-05:10:32",26.7,85,35.92,59.08333333,0.75833333,Fruit 1
"Sunday,-December-24-2023-06:10:32",26.7,85,36.19,59.84166667,0.75833334,Fruit 1
"Sunday,-December-24-2023-07:10:32",26.2,86,35.97,60.6,0.75833333,Fruit 1
"Sunday,-December-24-2023-08:10:31",26.2,85,35.78,62.15,1.55,Fruit 1
"Sunday,-December-24-2023-09:10:31",28,82,40.46,63.7,1.55,Fruit 1
"Sunday,-December-24-2023-10:10:31",29.3,80,40.78,65.25,1.55,Fruit 1
"Sunday,-December-24-2023-11:10:31",33.8,74,40.56,66.8,1.55,Fruit 1
"Sunday,-December-24-2023-12:10:31",43,62,39.71,68.35,1.55,Fruit 1
"Sunday,-December-24-2023-13:10:32",60.1,22,39.55,68.9,0.55,Fruit 1
"Sunday,-December-24-2023-14:10:33",55.4,47,39.71,69.45,0.55,Fruit 1
"Sunday,-December-24-2023-15:10:34",50.5,56,39.41,70,0.55,Fruit 1
"Sunday,-December-24-2023-16:10:35",53.7,51,41.52,70.55,0.55,Fruit 1
"Sunday,-December-24-2023-16:58:08",41.6,62,42.25,71.1,0.55,Fruit 1
"Sunday,-December-24-2023-17:58:08",37.7,76,39.07,71.65,0.55,Fruit 1
"Sunday,-December-24-2023-18:58:08",34.2,80,39.44,72.2,0.55,Fruit 1
"Sunday,-December-24-2023-19:58:08",30.2,86,39.51,73.36388889,1.16388889,Fruit 1
"Sunday,-December-24-2023-20:58:08",28.5,87,39.66,74.52777778,1.16388889,Fruit 1
"Sunday,-December-24-2023-21:58:08",27.6,88,39.17,75.69166667,1.16388889,Fruit 1
"Sunday,-December-24-2023-22:58:07",27.6,86,38.34,76.85555556,1.16388889,Fruit 1
"Sunday,-December-24-2023-23:58:07",27.1,86,37.61,78.01944444,1.16388888,Fruit 1
"Monday,-December-25-2023-00:58:07",27.6,86,37,79.18333333,1.16388889,Fruit 1
